seller,name,public_host,search_types_hit,queries_hit,products,personalized,ucp_tools,webmcp_loader,price_min,price_max,option_names,samples
thecrossdesign.myshopify.com,The Cross Living,www.thecrossliving.com,category; personalization; bulk; occasion; sentence,thank_you_cards; thank_you_personalized; cards_custom_name; foil_cards; thank_you_bulk; corporate_thank_you; event_thank_you; sentence_cards,37,6,13,true,995,5000,Quantity (1),Hydrangea Thank You Card Boxed Set | Delft Thank You Card Boxed Set | Pink Hydrangea Thank You Card Boxed Set
good-nbr.myshopify.com,Good Neighbour,good-nbr.myshopify.com,category; personalization; bulk; occasion; sentence,thank_you_cards; stationery_cards; thank_you_personalized; cards_custom_name; foil_cards; thank_you_bulk; corporate_thank_you; event_thank_you; sentence_cards,35,9,13,true,950,3600,,Peacock Thank You Card (Boxed Set of 8) | Rosette Thank You Card | Seaside Thank You Card
thecrdroom2.myshopify.com,The Card Room at KRICKET’S ,thecardroom.ca,category; personalization; bulk; occasion; sentence,thank_you_cards; thank_you_personalized; cards_custom_name; thank_you_bulk; corporate_thank_you; event_thank_you; sentence_cards,19,6,13,true,895,3295,,Rifle Paper Co - Thank You Roses Card | Doggy Thank You Card | Rifle Paper Co - Rose Garden Thank You Cards Boxed Set of 8
juxtaposegifts.myshopify.com,Juxtapose Cards & Gifts,juxtaposegifts.myshopify.com,category; personalization; bulk; occasion; sentence,thank_you_cards; thank_you_personalized; cards_custom_name; monogram_notecards; foil_cards; thank_you_bulk; corporate_thank_you; event_thank_you; sentence_cards,19,1,13,true,1595,4695,,Garden Party Thank You Keepsake Boxed Cards | Garden Party Thank You Keepsake Boxed Cards | Lavender & Honey Thank You Boxed Cards
collected-joy.myshopify.com,Collected Joy,collected-joy.com,category; personalization; bulk; occasion; sentence,thank_you_cards; thank_you_personalized; cards_custom_name; monogram_notecards; thank_you_bulk; corporate_thank_you; event_thank_you; sentence_cards,16,12,13,true,750,3200,,Rifle Thank You Bouquet | Japanese Design Thank you Card box of 16 | Rifle Thank You Bouquet
redpegasusstore.myshopify.com,Red Pegasus,redpegasus.ca,category; personalization; bulk; occasion; sentence,note_cards; thank_you_personalized; cards_custom_name; monogram_notecards; thank_you_bulk; event_thank_you; sentence_cards,9,7,13,true,2595,3600,,Marimekko Kukka Notecards | Delphine Thank You Cards (Set of 8) | Thank You So Very Much Cards (Box Set)
front-and-co-gifts.myshopify.com,Front and Company: Gifts,front-and-co-gifts.myshopify.com,category; personalization; bulk; occasion,thank_you_cards; note_cards; thank_you_personalized; monogram_notecards; foil_cards; thank_you_bulk; corporate_thank_you,13,0,13,false,895,3895,Packaging type (6); Pack size (1),Pink Tulip Thank You Cards | Big Navy Striped Bow Thank You Note Greeting Card | Ladybugs Little Notes®
d87ce2-43.myshopify.com,Indigo,www.indigo.ca,category; personalization; bulk; occasion,thank_you_cards; note_cards; thank_you_personalized; foil_cards; thank_you_bulk; event_thank_you,11,1,13,true,1080,1514,Format (2); Colour (1),"Watercolor Sunset Thank You Notes, Set Of 14 | Thank You Cards, Seriously Gold Foil, Set Of 20 | Lollipop Trees Boxed Notes, Set Of 14"
seekandbloomco.myshopify.com,Seek and Bloom Creative Co.,seekandbloom.ca,category; personalization; bulk; occasion,thank_you_cards; note_cards; thank_you_personalized; monogram_notecards; foil_cards; thank_you_bulk; corporate_thank_you; event_thank_you,9,0,13,true,1500,2500,,"Thank You, Pressed Flower Cosmos | Mixed Pack, Garden Inspired, Pressed Flower, Note Card Set | Star, Pressed Flower on Black, Note Card Set *Discontinued"
thistleandwren.myshopify.com,Thistle & Wren,www.thistleandwren.com,category; personalization; bulk; occasion,thank_you_cards; thank_you_personalized; cards_custom_name; foil_cards; thank_you_bulk; corporate_thank_you; event_thank_you,8,0,13,true,915,915,,Strawberry Fields Thank You Card | Floral Thanks Card | Strawberry Fields Thank You Card
scout-ltd.myshopify.com,Scout,www.iheartscout.com,category; personalization; bulk; occasion,thank_you_cards; thank_you_personalized; foil_cards; thank_you_bulk; corporate_thank_you,7,0,13,true,895,895,Option (4),Blue Gingham Thank You Card | Rosette Thank You Card | Blue Gingham Thank You Card
goprintplus.myshopify.com,Go Print Plus,goprintplus.com,personalization; occasion; sentence,cards_custom_name; corporate_thank_you; event_thank_you; sentence_cards,29,4,13,true,6200,6200,Flat or folded - by size (29); Paper type (29); Quantity (29),Spring Pink Blossoms Thank You Card - Romantic Watercolor Florals | Pink Cross Thank You Card | Hand Drawn Wreath Thank You Card
outer-layer.myshopify.com,Outer Layer,outerlayer.com,category; personalization; occasion,thank_you_cards; monogram_notecards; foil_cards; event_thank_you,16,0,13,true,695,2499,,Grateful Roses Friendship Greeting Card | Rose Garden Thank You Card | Tulips Pop Up Card
duly-noted-stationery.myshopify.com,Duly Noted Stationery,www.dulynoted.ca,category; personalization; occasion,thank_you_cards; stationery_cards; note_cards; stationery_personalized; monogram_notecards; foil_cards; event_thank_you,16,0,13,true,595,6995,,Red Cap Cards Greeting Card - Thanks Fox | Writing Gift Set - Send With Love | E Frances Boxed Little Notes - Spot Of Tea
