seller,name,public_host,search_types_hit,queries_hit,products,personalized,ucp_tools,webmcp_loader,price_min,price_max,option_names,samples
sweetflour-bakeshop.myshopify.com,Sweet Flour Bake Shop,www.sweetflour.ca,category; personalization; dietary; occasion; bulk; sentence,cookies; dessert_box; cookies_custom; cookies_vegan; corporate; cookies_bulk; sentence_dessert,21,7,13,true,450,9800,Add a decorated cookie (6); Select the packaging (4); Select the shape (3); Select the ribbon colour (if ribbon option selected above) (3); Choose the packaging (2); Select the ribbon colour (1); Select a quantity (1); Select the flavour (1),Thank You Sugar Cookies | Gourmet Cookie Gift Box (24) | Gift Bag of 6 Mini Cookies
partyexpertballoon.myshopify.com,Party Expert,www.party-expert.com,category; occasion; bulk; sentence,favors; baby_shower; kids; favors_bulk; sentence_kids,76,0,13,true,149,3999,,"Happy Icons Surprise Balls, 6 Count | Spider-Man mega favor pack, 48 per package | Fairy Party Paper Bags, 8 Count"
a0qrkj-ex.myshopify.com,Cookies By Design - Canada,cookiesbydesign.ca,category; personalization; dietary; occasion,cookies; cookies_custom; cookies_vegan; baby_shower,49,8,13,true,499,7129,Gourmet flavor: (1),School Love Favor Tray | Party Cupcakes Favor Tray | Pool Party Favor Tray
sfgd9w-x0.myshopify.com,Flowerhint,www.flowerhint.com,category; personalization; occasion; bulk,candles; coasters_engraved; wedding; favors_bulk,43,30,13,true,1757,18051,,"Rose Shaped Scented Candle Favors in Bulk  -  Personalized Wedding Bridal Baby Shower Birthday Gift  - Natural Soy Wax - Paraffin Lead Free | Personalized Peony Candle Wedding Favors, Engagement Favors, Wedding Candle Favors for Guest, Handmade Wedding Keepsakes, Baby Shower Gifts wedding flower | Custom Candle Wedding Favors with Dried Flowers, Bulk Wedding Favors for Guests, Personalized Wedding Gift for Guest, Wedding Thank you Gift"
party-stuff-v4.myshopify.com,Party Stuff,www.partystuff.ca,category; occasion; bulk; sentence,favors; baby_shower; kids; favors_bulk; sentence_kids,17,1,13,true,199,4999,,"48 Count Hello Kitty Party Favor Pack | Minecraft Favour Pack, 48 pieces | Favor Box - Heart, 8 Count, 4.5"""
veehacart-ca.myshopify.com,Veehacart,veehacart.ca,category; personalization; dietary; bulk,cookies; cookies_custom; cookies_vegan; cookies_gf; cookies_bulk,6,0,13,true,1968,2671,Pack size (4),Dohful Assorted Cookies | Dohful Assorted Cookies | Dohful S'mores Chocolate Chunk Cookies
plumpolkadot.myshopify.com,PlumPolkaDot,www.plumpolkadot.com,personalization; occasion; bulk,favors_personalized; wedding; baby_shower; favors_bulk,42,42,13,true,199,8499,,"Floral Party Favors, Hair Ties | Donut Party Favors, Hair Ties | Royal Blue & Silver Glitter Party Favors, Hair Ties"
mmhdg8-gd.myshopify.com,Bumbleberry Decor Ltd.,bumbleberrydecorltd.com,category; personalization; occasion,candles; favors_personalized; wedding; baby_shower,18,10,13,true,500,4000,Quantity (17); Color (8); Favor options (6); Scent (3); Design options for back (2); Fragrance (1),"Personalized Wedding Favors - Candle Box | ""Oh Baby!"" Teddy Bear Favors | ""Oh Baby"" Lion Party Favors"
0rdkjn-1g.myshopify.com,MAIOUMA INC.,maiouma.com,category; occasion; price,candles; wedding; baby_shower; favors_under_10; favors_under_25,10,3,13,true,4,285,Qty (9); Size (8); Color (5); Size  (2); Package (1),Rose Candle | Glass Jar Scented Candle | Crystal Clam Shell With Pearl
sullivanbleeker.myshopify.com,Sullivan & Bleeker Baking Co.,sullivanbleeker.com,category; personalization; dietary,dessert_box; cookies_custom; chocolate_nutfree,8,5,13,true,450,22500,Size (2); Title (1); Flavour (1),The Ultimate Dessert Collection Box: Grand Nut-Free Gift | Cookie & Candy Gift Box | Same Day Gift Delivery Toronto | Personalized Gourmet Cookie Jar: Soft-Baked Custom Gift
